full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
d-kimuson/claude-code-viewer,940,940,104,2,2,0,https://github.com/d-kimuson/claude-code-viewer
anthropics/claude-agent-sdk-demos,1588,1588,247,4,4,0,https://github.com/anthropics/claude-agent-sdk-demos
anthropics/claude-agent-sdk-python,5150,5150,680,8,8,1,https://github.com/anthropics/claude-agent-sdk-python
numman-ali/openskills,8731,8731,562,11,11,2,https://github.com/numman-ali/openskills
browser-use/browser-use,79561,79561,9404,41,41,1,https://github.com/browser-use/browser-use
ericbuess/claude-code-docs,714,714,101,2,2,0,https://github.com/ericbuess/claude-code-docs
Alishahryar1/free-claude-code,780,780,93,5,5,-1,https://github.com/Alishahryar1/free-claude-code
code-yeongyu/oh-my-opencode,36770,36770,2772,114,114,5,https://github.com/code-yeongyu/oh-my-opencode
anomalyco/opencode,115628,115628,11715,260,260,19,https://github.com/anomalyco/opencode
opactorai/Claudable,3766,3766,563,1,1,0,https://github.com/opactorai/Claudable
MadAppGang/claude-code,241,241,25,0,0,0,https://github.com/MadAppGang/claude-code
kn1026/cc,704,704,270,1,1,0,https://github.com/kn1026/cc
superdesigndev/superdesign,6060,6060,686,2,2,0,https://github.com/superdesigndev/superdesign
severity1/claude-code-prompt-improver,1167,1167,99,-1,-1,0,https://github.com/severity1/claude-code-prompt-improver
Yeachan-Heo/oh-my-claudecode,8261,8261,574,61,61,5,https://github.com/Yeachan-Heo/oh-my-claudecode
lyconear/Claude-Code,4,4,147,0,0,0,https://github.com/lyconear/Claude-Code
OthmanAdi/planning-with-files,15216,15216,1401,46,46,3,https://github.com/OthmanAdi/planning-with-files
greggh/claude-code.nvim,1884,1884,60,1,1,0,https://github.com/greggh/claude-code.nvim
daymade/claude-code-skills,621,621,89,1,1,0,https://github.com/daymade/claude-code-skills
BloopAI/vibe-kanban,22323,22323,2162,18,18,2,https://github.com/BloopAI/vibe-kanban
PleasePrompto/notebooklm-skill,4078,4078,397,18,18,0,https://github.com/PleasePrompto/notebooklm-skill
laravel/claude-code,510,510,16,0,0,0,https://github.com/laravel/claude-code
manzaltu/claude-code-ide.el,1384,1384,82,1384,1384,82,https://github.com/manzaltu/claude-code-ide.el
